Comunidades y Ciudades Autónomas;Periodo;Capital Desembolsado;Capital Suscrito;Nacimientos;Matrimonios;Defunciones;Población
01 Andalucía;2022;785410;786793;62967;34293;78962;8511167
01 Andalucía;2021;670275;671783;65650;26916;79339;8472407
01 Andalucía;2020;619582;635457;65522;15175;78461;8464411
01 Andalucía;2019;557706;559078;69397;30850;70505;8414240
01 Andalucía;2018;711183;712138;71029;29812;72806;8384408
01 Andalucía;2017;639265;644403;74684;30499;71234;8379820
01 Andalucía;2016;713072;716249;79263;31095;69231;8388107
01 Andalucía;2015;683290;688381;80633;29941;72001;8399043
01 Andalucía;2014;731138;731992;82195;28580;66322;8402305
01 Andalucía;2013;960328;961516;81470;26442;65690;8440300
02 Aragón;2022;74721;74796;8985;4788;15376;1328215
02 Aragón;2021;103709;103959;9463;4164;14516;1326261
02 Aragón;2020;174443;174443;9095;2285;16711;1329391
02 Aragón;2019;155767;161767;9644;3969;13620;1319291
02 Aragón;2018;84664;84826;9977;4159;14100;1308728
02 Aragón;2017;89880;90338;10531;4294;14208;1308750
02 Aragón;2016;168447;168490;10929;4425;13481;1308563
02 Aragón;2015;56233;76679;11352;4300;14339;1317847
02 Aragón;2014;67298;68273;11602;4221;13742;1325385
02 Aragón;2013;95421;95861;11662;4376;13353;1347150
03 Asturias, Principado de;2022;28410;28455;4744;3615;13936;1004960
03 Asturias, Principado de;2021;36937;36982;4785;2954;13367;1011792
03 Asturias, Principado de;2020;44285;44330;4771;1849;14550;1018784
03 Asturias, Principado de;2019;78102;78419;5152;3334;12893;1022800
03 Asturias, Principado de;2018;61071;61191;5733;3475;13238;1028244
03 Asturias, Principado de;2017;61788;61833;6012;3634;13152;1034960
03 Asturias, Principado de;2016;71092;71182;6347;3727;13204;1042608
03 Asturias, Principado de;2015;47211;47346;6455;3537;13550;1051229
03 Asturias, Principado de;2014;38701;39026;6600;3547;12812;1061756
03 Asturias, Principado de;2013;57608;58493;6671;3363;12722;1068165
04 Balears, Illes;2022;140834;140879;9079;5262;9320;1187043
04 Balears, Illes;2021;193395;193530;9520;4363;8802;1173008
04 Balears, Illes;2020;204210;204885;9455;2960;8559;1171543
04 Balears, Illes;2019;165001;167593;9681;5082;7995;1149460
04 Balears, Illes;2018;239461;239546;10285;4809;8206;1128908
04 Balears, Illes;2017;168469;168549;10288;4750;8353;1115999
04 Balears, Illes;2016;498172;498911;10616;4751;7939;1107220
04 Balears, Illes;2015;344830;344965;10597;4634;8322;1104479
04 Balears, Illes;2014;148089;148224;10673;4227;7847;1103442
04 Balears, Illes;2013;105313;105748;10532;4071;7660;1111674
05 Canarias;2022;127707;129327;12219;7743;18712;2185607
05 Canarias;2021;72460;72660;12732;6834;17149;2172944
05 Canarias;2020;249661;249958;13178;4869;16486;2175952
05 Canarias;2019;126535;127270;14137;7811;15756;2153389
05 Canarias;2018;90842;92057;14775;7731;16310;2127685
05 Canarias;2017;186258;186423;15779;7563;15254;2108121
05 Canarias;2016;204608;204789;16159;7392;15035;2101924
05 Canarias;2015;93550;93740;16146;6928;15110;2100306
05 Canarias;2014;80924;81232;16398;6574;14331;2104815
05 Canarias;2013;157747;157837;15859;6199;13621;2118679
06 Cantabria;2022;16354;16354;3224;2154;6767;585450
06 Cantabria;2021;20090;20090;3285;1893;6052;584507
06 Cantabria;2020;23274;23274;3407;1146;6467;582905
06 Cantabria;2019;24272;24272;3547;2000;6013;581078
06 Cantabria;2018;48402;48402;3805;2108;6096;580229
06 Cantabria;2017;16607;16607;4118;2121;5958;580295
06 Cantabria;2016;20253;20253;4244;2264;5936;582206
06 Cantabria;2015;20488;20578;4375;2151;6041;585179
06 Cantabria;2014;67604;67604;4565;2097;5899;588656
06 Cantabria;2013;36160;36160;4831;1962;5603;591888
07 Castilla y León;2022;95151;95241;13135;7281;31017;2375583
07 Castilla y León;2021;141875;142245;13095;6179;29299;2383139
07 Castilla y León;2020;123980;123995;13652;3367;36197;2394918
07 Castilla y León;2019;167526;167615;14323;7087;28719;2399548
07 Castilla y León;2018;141735;141780;15044;7184;29297;2409164
07 Castilla y León;2017;146374;147179;15509;7661;28979;2425801
07 Castilla y León;2016;196911;196911;16675;7550;28436;2447519
07 Castilla y León;2015;86237;86384;17389;7414;29302;2472052
07 Castilla y León;2014;362347;363292;17886;7469;27787;2494790
07 Castilla y León;2013;239798;240243;17827;7240;27507;2519875
08 Castilla - La Mancha;2022;78234;78609;14511;7994;20541;2058278
08 Castilla - La Mancha;2021;95006;95857;14534;6323;20417;2049562
08 Castilla - La Mancha;2020;54059;54164;14738;3226;25835;2045221
08 Castilla - La Mancha;2019;109202;109297;15316;6974;19467;2032863
08 Castilla - La Mancha;2018;157611;157701;15845;7163;19574;2026807
08 Castilla - La Mancha;2017;67087;67132;16864;7139;20208;2031479
