Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Forma jurídica;Número de sociedades y capital (en miles de euros);Periodo;Total
Total Nacional;;;Total;Número de Sociedades;2022;99.116
Total Nacional;;;Total;Número de Sociedades;2021;101.210
Total Nacional;;;Total;Número de Sociedades;2020;79.200
Total Nacional;;;Total;Número de Sociedades;2019;93.951
Total Nacional;;;Total;Número de Sociedades;2018;95.121
Total Nacional;;;Total;Número de Sociedades;2017;94.370
Total Nacional;;;Total;Número de Sociedades;2016;101.047
Total Nacional;;;Total;Número de Sociedades;2015;94.644
Total Nacional;;;Total;Número de Sociedades;2014;94.158
Total Nacional;;;Total;Número de Sociedades;2013;93.420
Total Nacional;;;Total;Número de Sociedades;2012;87.182
Total Nacional;;;Total;Número de Sociedades;2011;84.812
Total Nacional;;;Total;Número de Sociedades;2010;79.994
Total Nacional;;;Total;Número de Sociedades;2009;78.204
Total Nacional;;;Total;Número de Sociedades;2008;103.565
Total Nacional;;;Total;Número de Sociedades;2007;142.763
Total Nacional;;;Total;Número de Sociedades;2006;148.964
Total Nacional;;;Total;Número de Sociedades;2005;138.981
Total Nacional;;;Total;Número de Sociedades;2004;130.992
Total Nacional;;;Total;Número de Sociedades;2003;123.750
Total Nacional;;;Total;Número de Sociedades;2002;114.738
Total Nacional;;;Total;Número de Sociedades;2001;110.648
Total Nacional;;;Total;Número de Sociedades;2000;115.493
Total Nacional;;;Total;capital (en miles de euros) suscrito;2022;5.190.288
Total Nacional;;;Total;capital (en miles de euros) suscrito;2021;5.043.596
Total Nacional;;;Total;capital (en miles de euros) suscrito;2020;4.912.482
Total Nacional;;;Total;capital (en miles de euros) suscrito;2019;5.563.535
Total Nacional;;;Total;capital (en miles de euros) suscrito;2018;5.200.782
Total Nacional;;;Total;capital (en miles de euros) suscrito;2017;5.262.429
Total Nacional;;;Total;capital (en miles de euros) suscrito;2016;6.292.376
Total Nacional;;;Total;capital (en miles de euros) suscrito;2015;7.355.949
Total Nacional;;;Total;capital (en miles de euros) suscrito;2014;7.408.305
Total Nacional;;;Total;capital (en miles de euros) suscrito;2013;6.727.652
Total Nacional;;;Total;capital (en miles de euros) suscrito;2012;7.629.712
Total Nacional;;;Total;capital (en miles de euros) suscrito;2011;21.385.174
Total Nacional;;;Total;capital (en miles de euros) suscrito;2010;8.000.738
Total Nacional;;;Total;capital (en miles de euros) suscrito;2009;4.792.279
Total Nacional;;;Total;capital (en miles de euros) suscrito;2008;8.046.962
Total Nacional;;;Total;capital (en miles de euros) suscrito;2007;13.733.226
Total Nacional;;;Total;capital (en miles de euros) suscrito;2006;10.576.198
Total Nacional;;;Total;capital (en miles de euros) suscrito;2005;10.583.865
Total Nacional;;;Total;capital (en miles de euros) suscrito;2004;9.052.783
Total Nacional;;;Total;capital (en miles de euros) suscrito;2003;8.429.061
Total Nacional;;;Total;capital (en miles de euros) suscrito;2002;10.261.235
Total Nacional;;;Total;capital (en miles de euros) suscrito;2001;14.906.491
Total Nacional;;;Total;capital (en miles de euros) suscrito;2000;11.032.098
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2022;5.131.736
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2021;4.928.896
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2020;4.872.630
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2019;5.520.037
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2018;5.140.768
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2017;5.203.023
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2016;6.237.065
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2015;7.294.900
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2014;7.333.686
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2013;6.676.269
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2012;7.445.540
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2011;21.159.872
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2010;7.859.030
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2009;4.547.484
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2008;7.599.952
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2007;12.484.514
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2006;9.862.891
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2005;9.922.940
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2004;9.569.713
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2003;7.900.410
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2002;9.565.824
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2001;13.983.295
Total Nacional;;;Total;capital (en miles de euros) desembolsado;2000;563.704.590
Total Nacional;;;S.A.;Número de Sociedades;2022;433
Total Nacional;;;S.A.;Número de Sociedades;2021;418
Total Nacional;;;S.A.;Número de Sociedades;2020;317
Total Nacional;;;S.A.;Número de Sociedades;2019;431
Total Nacional;;;S.A.;Número de Sociedades;2018;438
Total Nacional;;;S.A.;Número de Sociedades;2017;426
Total Nacional;;;S.A.;Número de Sociedades;2016;413
Total Nacional;;;S.A.;Número de Sociedades;2015;650
Total Nacional;;;S.A.;Número de Sociedades;2014;710
Total Nacional;;;S.A.;Número de Sociedades;2013;559
Total Nacional;;;S.A.;Número de Sociedades;2012;577
Total Nacional;;;S.A.;Número de Sociedades;2011;665
