Estados Sociedades;Actividad económica;Periodo;Total
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2023M09;1,85
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2023M08;1,18
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2023M07;1,16
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2023M06;1,69
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2023M05;1,06
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2023M04;1,3
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2023M03;1,54
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2023M02;1,37
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2023M01;1,36
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2022M12;1,41
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2022M11;1,51
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2022M10;1,04
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2022M09;1,12
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2022M08;1,77
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2022M07;1,68
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2022M06;2,1
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2022M05;2,1
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2022M04;1,33
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2022M03;1,45
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2022M02;1,94
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2022M01;1,57
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2021M12;1,63
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2021M11;2,02
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2021M10;1,02
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2021M09;2,2
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2021M08;1,34
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2021M07;1,54
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2021M06;1,4
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2021M05;2,09
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2021M04;1,24
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2021M03;1,18
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2021M02;1,36
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2021M01;1,21
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2020M12;1,21
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2020M11;1,5
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2020M10;2,07
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2020M09;1,35
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2020M08;1,88
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2020M07;0,98
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2020M06;1,18
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2020M05;1,26
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2020M04;2,01
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2020M03;1,65
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2020M02;1,58
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2020M01;1,29
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2019M12;1,59
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2019M11;1,08
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2019M10;1,83
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2019M09;1,39
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2019M08;0,75
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2019M07;0,68
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2019M06;0,6
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2019M05;1,22
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2019M04;1,64
