Provincias;Clase de disolución;Periodo;Total
02 Albacete;Voluntaria;2022M12;0
02 Albacete;Voluntaria;2022M11;1
02 Albacete;Voluntaria;2022M10;1
02 Albacete;Voluntaria;2022M09;0
02 Albacete;Voluntaria;2022M08;1
02 Albacete;Voluntaria;2022M07;2
02 Albacete;Voluntaria;2022M06;0
02 Albacete;Voluntaria;2022M05;2
02 Albacete;Voluntaria;2022M04;1
02 Albacete;Voluntaria;2022M03;1
02 Albacete;Voluntaria;2022M02;1
02 Albacete;Voluntaria;2022M01;0
02 Albacete;Voluntaria;2021M12;2
02 Albacete;Voluntaria;2021M11;0
02 Albacete;Voluntaria;2021M10;1
02 Albacete;Voluntaria;2021M09;1
02 Albacete;Voluntaria;2021M08;0
02 Albacete;Voluntaria;2021M07;0
02 Albacete;Voluntaria;2021M06;1
02 Albacete;Voluntaria;2021M05;1
02 Albacete;Voluntaria;2021M04;2
02 Albacete;Voluntaria;2021M03;3
02 Albacete;Voluntaria;2021M02;3
02 Albacete;Voluntaria;2021M01;1
02 Albacete;Voluntaria;2020M12;3
02 Albacete;Voluntaria;2020M11;3
02 Albacete;Voluntaria;2020M10;1
02 Albacete;Voluntaria;2020M09;1
02 Albacete;Voluntaria;2020M08;0
02 Albacete;Voluntaria;2020M07;0
02 Albacete;Voluntaria;2020M06;0
02 Albacete;Voluntaria;2020M05;1
02 Albacete;Voluntaria;2020M04;0
02 Albacete;Voluntaria;2020M03;1
02 Albacete;Voluntaria;2020M02;0
02 Albacete;Voluntaria;2020M01;1
02 Albacete;Voluntaria;2019M12;5
02 Albacete;Voluntaria;2019M11;2
02 Albacete;Voluntaria;2019M10;2
02 Albacete;Voluntaria;2019M09;1
02 Albacete;Voluntaria;2019M08;1
02 Albacete;Voluntaria;2019M07;2
02 Albacete;Voluntaria;2019M06;3
02 Albacete;Voluntaria;2019M05;1
02 Albacete;Voluntaria;2019M04;0
02 Albacete;Voluntaria;2019M03;0
02 Albacete;Voluntaria;2019M02;1
