Total Nacional;Comunidades y Ciudades Autónomas;Principales indicadores;Periodo;Total
Total Nacional;;Indice de confianza empresarial armonizado;2023T4;133,2
Total Nacional;;Indice de confianza empresarial armonizado;2023T3;135,9
Total Nacional;;Indice de confianza empresarial armonizado;2023T2;132,5
Total Nacional;;Indice de confianza empresarial armonizado;2023T1;129,0
Total Nacional;;Indice de confianza empresarial armonizado;2022T4;127,2
Total Nacional;;Indice de confianza empresarial armonizado;2022T3;131,0
Total Nacional;;Indice de confianza empresarial armonizado;2022T2;121,9
Total Nacional;;Indice de confianza empresarial armonizado;2022T1;127,0
Total Nacional;;Indice de confianza empresarial armonizado;2021T4;130,3
Total Nacional;;Indice de confianza empresarial armonizado;2021T3;128,9
Total Nacional;;Indice de confianza empresarial armonizado;2021T2;114,8
Total Nacional;;Indice de confianza empresarial armonizado;2021T1;109,3
Total Nacional;;Indice de confianza empresarial armonizado;2020T4;105,5
Total Nacional;;Indice de confianza empresarial armonizado;2020T3;95,5
Total Nacional;;Indice de confianza empresarial armonizado;2020T2;95,5
Total Nacional;;Indice de confianza empresarial armonizado;2020T1;130,6
Total Nacional;;Indice de confianza empresarial armonizado;2019T4;131,1
Total Nacional;;Indice de confianza empresarial armonizado;2019T3;135,0
Total Nacional;;Indice de confianza empresarial armonizado;2019T2;132,9
Total Nacional;;Indice de confianza empresarial armonizado;2019T1;132,5
Total Nacional;;Indice de confianza empresarial armonizado;2018T4;133,9
Total Nacional;;Indice de confianza empresarial armonizado;2018T3;136,2
Total Nacional;;Indice de confianza empresarial armonizado;2018T2;135,5
Total Nacional;;Indice de confianza empresarial armonizado;2018T1;134,9
Total Nacional;;Indice de confianza empresarial armonizado;2017T4;135,4
Total Nacional;;Indice de confianza empresarial armonizado;2017T3;136,9
Total Nacional;;Indice de confianza empresarial armonizado;2017T2;134,2
Total Nacional;;Indice de confianza empresarial armonizado;2017T1;131,8
Total Nacional;;Indice de confianza empresarial armonizado;2016T4;131,4
Total Nacional;;Indice de confianza empresarial armonizado;2016T3;131,2
Total Nacional;;Indice de confianza empresarial armonizado;2016T2;130,5
Total Nacional;;Indice de confianza empresarial armonizado;2016T1;129,7
Total Nacional;;Indice de confianza empresarial armonizado;2015T4;131,4
Total Nacional;;Indice de confianza empresarial armonizado;2015T3;131,2
Total Nacional;;Indice de confianza empresarial armonizado;2015T2;128,1
Total Nacional;;Indice de confianza empresarial armonizado;2015T1;123,2
Total Nacional;;Indice de confianza empresarial armonizado;2014T4;123,2
Total Nacional;;Indice de confianza empresarial armonizado;2014T3;123,0
Total Nacional;;Indice de confianza empresarial armonizado;2014T2;118,3
Total Nacional;;Indice de confianza empresarial armonizado;2014T1;113,9
Total Nacional;;Indice de confianza empresarial armonizado;2013T4;113,0
Total Nacional;;Indice de confianza empresarial armonizado;2013T3;109,3
Total Nacional;;Indice de confianza empresarial armonizado;2013T2;103,6
Total Nacional;;Indice de confianza empresarial armonizado;2013T1;100,0
Total Nacional;;Situación del trimestre anterior;2023T4;3,6
Total Nacional;;Situación del trimestre anterior;2023T3;6,9
Total Nacional;;Situación del trimestre anterior;2023T2;-1,5
Total Nacional;;Situación del trimestre anterior;2023T1;1,1
Total Nacional;;Situación del trimestre anterior;2022T4;-2,3
Total Nacional;;Situación del trimestre anterior;2022T3;1,3
Total Nacional;;Situación del trimestre anterior;2022T2;-14,4
Total Nacional;;Situación del trimestre anterior;2022T1;-2,0
Total Nacional;;Situación del trimestre anterior;2021T4;-2,3
Total Nacional;;Situación del trimestre anterior;2021T3;-8,3
Total Nacional;;Situación del trimestre anterior;2021T2;-30,2
Total Nacional;;Situación del trimestre anterior;2021T1;-32,0
Total Nacional;;Situación del trimestre anterior;2020T4;-38,8
Total Nacional;;Situación del trimestre anterior;2020T3;-62,8
Total Nacional;;Situación del trimestre anterior;2020T2;-36,3
Total Nacional;;Situación del trimestre anterior;2020T1;1,9
Total Nacional;;Situación del trimestre anterior;2019T4;0,2
Total Nacional;;Situación del trimestre anterior;2019T3;4,5
Total Nacional;;Situación del trimestre anterior;2019T2;-2,5
Total Nacional;;Situación del trimestre anterior;2019T1;4,4
Total Nacional;;Situación del trimestre anterior;2018T4;3,1
Total Nacional;;Situación del trimestre anterior;2018T3;5,9
Total Nacional;;Situación del trimestre anterior;2018T2;0,4
Total Nacional;;Situación del trimestre anterior;2018T1;7,1
Total Nacional;;Situación del trimestre anterior;2017T4;5,3
Total Nacional;;Situación del trimestre anterior;2017T3;7,5
Total Nacional;;Situación del trimestre anterior;2017T2;-2,3
Total Nacional;;Situación del trimestre anterior;2017T1;2,7
Total Nacional;;Situación del trimestre anterior;2016T4;0,1
Total Nacional;;Situación del trimestre anterior;2016T3;-1,2
Total Nacional;;Situación del trimestre anterior;2016T2;-6,2
Total Nacional;;Situación del trimestre anterior;2016T1;-0,1
Total Nacional;;Situación del trimestre anterior;2015T4;-0,3
Total Nacional;;Situación del trimestre anterior;2015T3;-1,9
Total Nacional;;Situación del trimestre anterior;2015T2;-11,6
Total Nacional;;Situación del trimestre anterior;2015T1;-11,7
Total Nacional;;Situación del trimestre anterior;2014T4;-13,7
Total Nacional;;Situación del trimestre anterior;2014T3;-15,4
Total Nacional;;Situación del trimestre anterior;2014T2;-26,3
Total Nacional;;Situación del trimestre anterior;2014T1;-25,8
Total Nacional;;Situación del trimestre anterior;2013T4;-28,5
Total Nacional;;Situación del trimestre anterior;2013T3;-35,5
Total Nacional;;Situación del trimestre anterior;2013T2;-47,0
Total Nacional;;Situación del trimestre anterior;2013T1;-46,7
Total Nacional;;Expectativas del trimestre entrante;2023T4;0,3
Total Nacional;;Expectativas del trimestre entrante;2023T3;5,2
Total Nacional;;Expectativas del trimestre entrante;2023T2;3,4
Total Nacional;;Expectativas del trimestre entrante;2023T1;-9,8
Total Nacional;;Expectativas del trimestre entrante;2022T4;-11,8
Total Nacional;;Expectativas del trimestre entrante;2022T3;-4,2
Total Nacional;;Expectativas del trimestre entrante;2022T2;-16,1
Total Nacional;;Expectativas del trimestre entrante;2022T1;-12,8
Total Nacional;;Expectativas del trimestre entrante;2021T4;-2,6
Total Nacional;;Expectativas del trimestre entrante;2021T3;-0,9
Total Nacional;;Expectativas del trimestre entrante;2021T2;-21,6
Total Nacional;;Expectativas del trimestre entrante;2021T1;-36,5
Total Nacional;;Expectativas del trimestre entrante;2020T4;-41,3
Total Nacional;;Expectativas del trimestre entrante;2020T3;-47,2
Total Nacional;;Expectativas del trimestre entrante;2020T2;-72,0
Total Nacional;;Expectativas del trimestre entrante;2020T1;-5,9
Total Nacional;;Expectativas del trimestre entrante;2019T4;-2,7
Total Nacional;;Expectativas del trimestre entrante;2019T3;4,7
Total Nacional;;Expectativas del trimestre entrante;2019T2;5,6
Total Nacional;;Expectativas del trimestre entrante;2019T1;-2,7
Total Nacional;;Expectativas del trimestre entrante;2018T4;2,9
Total Nacional;;Expectativas del trimestre entrante;2018T3;7,1
Total Nacional;;Expectativas del trimestre entrante;2018T2;10,7
Total Nacional;;Expectativas del trimestre entrante;2018T1;1,9
Total Nacional;;Expectativas del trimestre entrante;2017T4;5,2
Total Nacional;;Expectativas del trimestre entrante;2017T3;7,7
Total Nacional;;Expectativas del trimestre entrante;2017T2;9,3
Total Nacional;;Expectativas del trimestre entrante;2017T1;-3,1
Total Nacional;;Expectativas del trimestre entrante;2016T4;-1,7
Total Nacional;;Expectativas del trimestre entrante;2016T3;-1,1
Total Nacional;;Expectativas del trimestre entrante;2016T2;1,9
Total Nacional;;Expectativas del trimestre entrante;2016T1;-6,5
Total Nacional;;Expectativas del trimestre entrante;2015T4;-1,3
Total Nacional;;Expectativas del trimestre entrante;2015T3;-0,4
Total Nacional;;Expectativas del trimestre entrante;2015T2;0,1
Total Nacional;;Expectativas del trimestre entrante;2015T1;-14,9
Total Nacional;;Expectativas del trimestre entrante;2014T4;-12,8
Total Nacional;;Expectativas del trimestre entrante;2014T3;-11,7
Total Nacional;;Expectativas del trimestre entrante;2014T2;-14,8
Total Nacional;;Expectativas del trimestre entrante;2014T1;-28,7
Total Nacional;;Expectativas del trimestre entrante;2013T4;-28,8
Total Nacional;;Expectativas del trimestre entrante;2013T3;-33,1
Total Nacional;;Expectativas del trimestre entrante;2013T2;-38,7
Total Nacional;;Expectativas del trimestre entrante;2013T1;-50,1
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2023T4;133,1
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2023T3;137,4
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2023T2;133,6
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2023T1;129,1
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2022T4;126,7
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2022T3;130,1
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2022T2;121,9
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2022T1;126,9
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2021T4;130,7
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2021T3;128,3
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2021T2;113,3
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2021T1;108,2
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2020T4;107,7
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2020T3;96,9
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2020T2;96,2
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2020T1;131,1
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2019T4;130,8
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2019T3;135,3
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2019T2;131,7
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2019T1;131,9
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2018T4;132,5
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2018T3;136,5
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2018T2;135,0
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2018T1;134,4
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2017T4;134,1
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2017T3;136,3
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2017T2;133,6
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2017T1;132,0
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2016T4;131,5
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2016T3;131,6
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2016T2;130,9
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2016T1;131,2
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2015T4;133,5
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2015T3;131,0
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2015T2;130,1
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2015T1;124,8
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2014T4;125,4
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2014T3;124,5
Total Nacional;01 Andalucía;Indice de confianza empresarial armonizado;2014T2;119,2
