Adopción de medidas de empleo;Sectores de actividad;Total
Reducir la jornada laboral de sus trabajadores;Total Nacional;33,2
Reducir la jornada laboral de sus trabajadores;Industria;30,6
Reducir la jornada laboral de sus trabajadores;Construcción;33,1
Reducir la jornada laboral de sus trabajadores;Comercio;35,1
Reducir la jornada laboral de sus trabajadores;Transporte y hostelería;38,4
Reducir la jornada laboral de sus trabajadores;Otros servicios;31,5
Incrementar la jornada laboral de sus trabajadores;Total Nacional;1,6
Incrementar la jornada laboral de sus trabajadores;Industria;1,1
Incrementar la jornada laboral de sus trabajadores;Construcción;0,7
Incrementar la jornada laboral de sus trabajadores;Comercio;1,7
Incrementar la jornada laboral de sus trabajadores;Transporte y hostelería;0,6
Incrementar la jornada laboral de sus trabajadores;Otros servicios;2,5
Reorganizar la jornada laboral;Total Nacional;35,8
Reorganizar la jornada laboral;Industria;49,0
Reorganizar la jornada laboral;Construcción;26,9
Reorganizar la jornada laboral;Comercio;36,2
Reorganizar la jornada laboral;Transporte y hostelería;30,7
Reorganizar la jornada laboral;Otros servicios;33,5
Solicitar un ERTE de suspensión o reducción para todos sus trabajadores;Total Nacional;17,2
Solicitar un ERTE de suspensión o reducción para todos sus trabajadores;Industria;18,1
Solicitar un ERTE de suspensión o reducción para todos sus trabajadores;Construcción;10,6
Solicitar un ERTE de suspensión o reducción para todos sus trabajadores;Comercio;19,4
Solicitar un ERTE de suspensión o reducción para todos sus trabajadores;Transporte y hostelería;28,0
Solicitar un ERTE de suspensión o reducción para todos sus trabajadores;Otros servicios;13,5
Solicitar un ERTE de suspensión o reducción para parte de sus trabajadores;Total Nacional;20,7
Solicitar un ERTE de suspensión o reducción para parte de sus trabajadores;Industria;19,8
Solicitar un ERTE de suspensión o reducción para parte de sus trabajadores;Construcción;19,0
Solicitar un ERTE de suspensión o reducción para parte de sus trabajadores;Comercio;19,3
Solicitar un ERTE de suspensión o reducción para parte de sus trabajadores;Transporte y hostelería;23,0
Solicitar un ERTE de suspensión o reducción para parte de sus trabajadores;Otros servicios;21,7
Despedir o no renovar contratos;Total Nacional;15,7
Despedir o no renovar contratos;Industria;19,4
Despedir o no renovar contratos;Construcción;20,8
Despedir o no renovar contratos;Comercio;10,3
Despedir o no renovar contratos;Transporte y hostelería;17,3
Despedir o no renovar contratos;Otros servicios;14,9
Contratar nuevo personal;Total Nacional;7,8
Contratar nuevo personal;Industria;7,5
Contratar nuevo personal;Construcción;9,9
Contratar nuevo personal;Comercio;9,2
Contratar nuevo personal;Transporte y hostelería;3,6
Contratar nuevo personal;Otros servicios;7,9
