Actividad Económica;Fecha;Comunidad Autónoma;Tipo de ERTE; Número de ERTES 
Actividades Primarias;31/10/2021;20 Nacional;Total;410
Industria manufacturera;31/10/2021;20 Nacional;Total;14592
Suministro de energía eléctrica, gas, vapor y aire acondicionado;31/10/2021;20 Nacional;Total;35
Construcción;31/10/2021;20 Nacional;Total;1847
"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";31/10/2021;20 Nacional;Total;16507
Transporte y almacenamiento;31/10/2021;20 Nacional;Total;7970
Hostelería;31/10/2021;20 Nacional;Total;38846
Información y comunicaciones;31/10/2021;20 Nacional;Total;1090
Actividades financieras y de seguros;31/10/2021;20 Nacional;Total;174
Actividades profesionales, científicas y técnicas;31/10/2021;20 Nacional;Total;2476
Actividades administrativas y servicios auxiliares;31/10/2021;20 Nacional;Total;10997
Otros servicios;31/10/2021;20 Nacional;Total;3786
Actividades Primarias;31/10/2021;20 Nacional;Parcial;24
Industria manufacturera;31/10/2021;20 Nacional;Parcial;6957
Suministro de energía eléctrica, gas, vapor y aire acondicionado;31/10/2021;20 Nacional;Parcial;20
Construcción;31/10/2021;20 Nacional;Parcial;489
"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";31/10/2021;20 Nacional;Parcial;12173
Transporte y almacenamiento;31/10/2021;20 Nacional;Parcial;3752
Hostelería;31/10/2021;20 Nacional;Parcial;14254
Información y comunicaciones;31/10/2021;20 Nacional;Parcial;1324
Actividades financieras y de seguros;31/10/2021;20 Nacional;Parcial;193
Actividades profesionales, científicas y técnicas;31/10/2021;20 Nacional;Parcial;2338
Actividades administrativas y servicios auxiliares;31/10/2021;20 Nacional;Parcial;6497
Otros servicios;31/10/2021;20 Nacional;Parcial;2290
Actividades Primarias;31/03/2022;20 Nacional;Total;130
Industria manufacturera;31/03/2022;20 Nacional;Total;10784
Suministro de energía eléctrica, gas, vapor y aire acondicionado;31/03/2022;20 Nacional;Total;21
Construcción;31/03/2022;20 Nacional;Total;1165
"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";31/03/2022;20 Nacional;Total;6232
