Comunidades y Ciudades Autónomas;Periodo;Total
01 Andalucía;2021;8.472.407
01 Andalucía;2020;8.464.411
01 Andalucía;2019;8.414.240
01 Andalucía;2018;8.384.408
01 Andalucía;2017;8.379.820
01 Andalucía;2016;8.388.107
01 Andalucía;2015;8.399.043
01 Andalucía;2014;8.402.305
01 Andalucía;2013;8.440.300
01 Andalucía;2012;8.449.985
01 Andalucía;2011;8.424.102
01 Andalucía;2010;8.370.975
01 Andalucía;2009;8.302.923
01 Andalucía;2008;8.202.220
01 Andalucía;2007;8.059.461
01 Andalucía;2006;7.975.672
01 Andalucía;2005;7.849.799
01 Andalucía;2004;7.687.518
01 Andalucía;2003;7.606.848
01 Andalucía;2002;7.478.432
01 Andalucía;2001;7.403.968
01 Andalucía;2000;7.340.052
02 Aragón;2021;1.326.261
02 Aragón;2020;1.329.391
02 Aragón;2019;1.319.291
02 Aragón;2018;1.308.728
02 Aragón;2017;1.308.750
02 Aragón;2016;1.308.563
02 Aragón;2015;1.317.847
02 Aragón;2014;1.325.385
02 Aragón;2013;1.347.150
02 Aragón;2012;1.349.467
02 Aragón;2011;1.346.293
02 Aragón;2010;1.347.095
02 Aragón;2009;1.345.473
02 Aragón;2008;1.326.918
02 Aragón;2007;1.296.655
02 Aragón;2006;1.277.471
02 Aragón;2005;1.269.027
02 Aragón;2004;1.249.584
02 Aragón;2003;1.230.090
02 Aragón;2002;1.217.514
02 Aragón;2001;1.199.753
02 Aragón;2000;1.189.909
03 Asturias, Principado de;2021;1.011.792
03 Asturias, Principado de;2020;1.018.784
03 Asturias, Principado de;2019;1.022.800
03 Asturias, Principado de;2018;1.028.244
03 Asturias, Principado de;2017;1.034.960
03 Asturias, Principado de;2016;1.042.608
03 Asturias, Principado de;2015;1.051.229
03 Asturias, Principado de;2014;1.061.756
03 Asturias, Principado de;2013;1.068.165
03 Asturias, Principado de;2012;1.077.360
03 Asturias, Principado de;2011;1.081.487
03 Asturias, Principado de;2010;1.084.341
03 Asturias, Principado de;2009;1.085.289
03 Asturias, Principado de;2008;1.080.138
03 Asturias, Principado de;2007;1.074.862
03 Asturias, Principado de;2006;1.076.896
03 Asturias, Principado de;2005;1.076.635
03 Asturias, Principado de;2004;1.073.761
03 Asturias, Principado de;2003;1.075.381
03 Asturias, Principado de;2002;1.073.971
03 Asturias, Principado de;2001;1.075.329
03 Asturias, Principado de;2000;1.076.567
04 Balears, Illes;2021;1.173.008
04 Balears, Illes;2020;1.171.543
04 Balears, Illes;2019;1.149.460
04 Balears, Illes;2018;1.128.908
04 Balears, Illes;2017;1.115.999
04 Balears, Illes;2016;1.107.220
04 Balears, Illes;2015;1.104.479
04 Balears, Illes;2014;1.103.442
04 Balears, Illes;2013;1.111.674
04 Balears, Illes;2012;1.119.439
04 Balears, Illes;2011;1.113.114
04 Balears, Illes;2010;1.106.049
04 Balears, Illes;2009;1.095.426
04 Balears, Illes;2008;1.072.844
04 Balears, Illes;2007;1.030.650
04 Balears, Illes;2006;1.001.062
04 Balears, Illes;2005;983.131
04 Balears, Illes;2004;955.045
04 Balears, Illes;2003;947.361
04 Balears, Illes;2002;916.968
04 Balears, Illes;2001;878.627
04 Balears, Illes;2000;845.630
05 Canarias;2021;2.172.944
05 Canarias;2020;2.175.952
05 Canarias;2019;2.153.389
05 Canarias;2018;2.127.685
05 Canarias;2017;2.108.121
05 Canarias;2016;2.101.924
05 Canarias;2015;2.100.306
05 Canarias;2014;2.104.815
05 Canarias;2013;2.118.679
05 Canarias;2012;2.118.344
05 Canarias;2011;2.126.769
05 Canarias;2010;2.118.519
05 Canarias;2009;2.103.992
05 Canarias;2008;2.075.968
05 Canarias;2007;2.025.951
05 Canarias;2006;1.995.833
05 Canarias;2005;1.968.280
05 Canarias;2004;1.915.540
05 Canarias;2003;1.894.868
05 Canarias;2002;1.843.755
05 Canarias;2001;1.781.366
05 Canarias;2000;1.716.276
06 Cantabria;2021;584.507
06 Cantabria;2020;582.905
06 Cantabria;2019;581.078
06 Cantabria;2018;580.229
06 Cantabria;2017;580.295
06 Cantabria;2016;582.206
06 Cantabria;2015;585.179
06 Cantabria;2014;588.656
06 Cantabria;2013;591.888
06 Cantabria;2012;593.861
06 Cantabria;2011;593.121
06 Cantabria;2010;592.250
06 Cantabria;2009;589.235
06 Cantabria;2008;582.138
06 Cantabria;2007;572.824
06 Cantabria;2006;568.091
06 Cantabria;2005;562.309
06 Cantabria;2004;554.784
06 Cantabria;2003;549.690
06 Cantabria;2002;542.275
06 Cantabria;2001;537.606
06 Cantabria;2000;531.159
07 Castilla y León;2021;2.383.139
07 Castilla y León;2020;2.394.918
07 Castilla y León;2019;2.399.548
07 Castilla y León;2018;2.409.164
07 Castilla y León;2017;2.425.801
07 Castilla y León;2016;2.447.519
07 Castilla y León;2015;2.472.052
07 Castilla y León;2014;2.494.790
07 Castilla y León;2013;2.519.875
07 Castilla y León;2012;2.546.078
07 Castilla y León;2011;2.558.463
07 Castilla y León;2010;2.559.515
07 Castilla y León;2009;2.563.521
07 Castilla y León;2008;2.557.330
07 Castilla y León;2007;2.528.417
07 Castilla y León;2006;2.523.020
07 Castilla y León;2005;2.510.849
07 Castilla y León;2004;2.493.918
07 Castilla y León;2003;2.487.646
07 Castilla y León;2002;2.480.369
07 Castilla y León;2001;2.479.425
07 Castilla y León;2000;2.479.118
08 Castilla - La Mancha;2021;2.049.562
08 Castilla - La Mancha;2020;2.045.221
08 Castilla - La Mancha;2019;2.032.863
08 Castilla - La Mancha;2018;2.026.807
08 Castilla - La Mancha;2017;2.031.479
08 Castilla - La Mancha;2016;2.041.631
08 Castilla - La Mancha;2015;2.059.191
08 Castilla - La Mancha;2014;2.078.611
08 Castilla - La Mancha;2013;2.100.998
08 Castilla - La Mancha;2012;2.121.888
08 Castilla - La Mancha;2011;2.115.334
08 Castilla - La Mancha;2010;2.098.373
08 Castilla - La Mancha;2009;2.081.313
08 Castilla - La Mancha;2008;2.043.100
08 Castilla - La Mancha;2007;1.977.304
08 Castilla - La Mancha;2006;1.932.261
08 Castilla - La Mancha;2005;1.894.667
08 Castilla - La Mancha;2004;1.848.881
08 Castilla - La Mancha;2003;1.815.781
08 Castilla - La Mancha;2002;1.782.038
08 Castilla - La Mancha;2001;1.755.053
08 Castilla - La Mancha;2000;1.734.261
09 Cataluña;2021;7.763.362
09 Cataluña;2020;7.780.479
09 Cataluña;2019;7.675.217
09 Cataluña;2018;7.600.065
09 Cataluña;2017;7.555.830
09 Cataluña;2016;7.522.596
09 Cataluña;2015;7.508.106
09 Cataluña;2014;7.518.903
09 Cataluña;2013;7.553.650
09 Cataluña;2012;7.570.908
09 Cataluña;2011;7.539.618
09 Cataluña;2010;7.512.381
09 Cataluña;2009;7.475.420
09 Cataluña;2008;7.364.078
09 Cataluña;2007;7.210.508
09 Cataluña;2006;7.134.697
09 Cataluña;2005;6.995.206
09 Cataluña;2004;6.813.319
09 Cataluña;2003;6.704.146
09 Cataluña;2002;6.506.440
09 Cataluña;2001;6.361.365
09 Cataluña;2000;6.261.999
10 Comunitat Valenciana;2021;5.058.138
10 Comunitat Valenciana;2020;5.057.353
10 Comunitat Valenciana;2019;5.003.769
10 Comunitat Valenciana;2018;4.963.703
10 Comunitat Valenciana;2017;4.941.509
10 Comunitat Valenciana;2016;4.959.968
10 Comunitat Valenciana;2015;4.980.689
10 Comunitat Valenciana;2014;5.004.844
10 Comunitat Valenciana;2013;5.113.815
10 Comunitat Valenciana;2012;5.129.266
10 Comunitat Valenciana;2011;5.117.190
