Comunidades Autónomas;Año;Constituciones
01 Andalucía;2022;17199
01 Andalucía;2021;17506
01 Andalucía;2020;13654
01 Andalucía;2019;15560
01 Andalucía;2018;16018
01 Andalucía;2017;15381
01 Andalucía;2016;16689
01 Andalucía;2015;15893
01 Andalucía;2014;15541
01 Andalucía;2013;15388
01 Andalucía;2012;14399
02 Aragón;2022;1823
02 Aragón;2021;1912
02 Aragón;2020;1543
02 Aragón;2019;1913
02 Aragón;2018;2016
02 Aragón;2017;2037
02 Aragón;2016;2526
02 Aragón;2015;2002
02 Aragón;2014;1933
02 Aragón;2013;2022
02 Aragón;2012;1980
03 Asturias, Principado de;2022;1142
03 Asturias, Principado de;2021;1271
03 Asturias, Principado de;2020;1035
03 Asturias, Principado de;2019;1164
03 Asturias, Principado de;2018;1188
03 Asturias, Principado de;2017;1344
03 Asturias, Principado de;2016;1458
03 Asturias, Principado de;2015;1332
03 Asturias, Principado de;2014;1364
03 Asturias, Principado de;2013;1357
03 Asturias, Principado de;2012;1281
04 Balears, Illes;2022;3812
04 Balears, Illes;2021;3467
04 Balears, Illes;2020;2570
04 Balears, Illes;2019;3010
04 Balears, Illes;2018;3293
04 Balears, Illes;2017;3498
04 Balears, Illes;2016;3589
04 Balears, Illes;2015;3108
04 Balears, Illes;2014;2887
04 Balears, Illes;2013;2798
04 Balears, Illes;2012;2547
05 Canarias;2022;3650
05 Canarias;2021;3494
05 Canarias;2020;2661
05 Canarias;2019;3385
05 Canarias;2018;3639
05 Canarias;2017;3850
05 Canarias;2016;3815
05 Canarias;2015;3577
05 Canarias;2014;3486
05 Canarias;2013;3424
05 Canarias;2012;3189
06 Cantabria;2022;758
06 Cantabria;2021;803
06 Cantabria;2020;592
06 Cantabria;2019;642
06 Cantabria;2018;754
06 Cantabria;2017;762
06 Cantabria;2016;981
06 Cantabria;2015;805
06 Cantabria;2014;819
06 Cantabria;2013;800
06 Cantabria;2012;696
07 Castilla y León;2022;2561
07 Castilla y León;2021;2694
07 Castilla y León;2020;2188
07 Castilla y León;2019;2811
07 Castilla y León;2018;2731
