Comunidades y Ciudades Autónomas;Grupos ECOICOP;Tipo de dato;Periodo;Total
01 Andalucía;Índice general;Índice;2022M12;110,492
01 Andalucía;Índice general;Índice;2022M11;110,286
01 Andalucía;Índice general;Índice;2022M10;110,495
01 Andalucía;Índice general;Índice;2022M09;109,872
01 Andalucía;Índice general;Índice;2022M08;110,528
01 Andalucía;Índice general;Índice;2022M07;110,142
01 Andalucía;Índice general;Índice;2022M06;110,585
01 Andalucía;Índice general;Índice;2022M05;108,545
01 Andalucía;Índice general;Índice;2022M04;107,590
01 Andalucía;Índice general;Índice;2022M03;107,635
01 Andalucía;Índice general;Índice;2022M02;104,409
01 Andalucía;Índice general;Índice;2022M01;103,523
01 Andalucía;Índice general;Índice;2021M12;104,067
01 Andalucía;Índice general;Índice;2021M11;102,772
01 Andalucía;Índice general;Índice;2021M10;102,589
01 Andalucía;Índice general;Índice;2021M09;100,606
01 Andalucía;Índice general;Índice;2021M08;99,630
01 Andalucía;Índice general;Índice;2021M07;99,085
01 Andalucía;Índice general;Índice;2021M06;100,070
01 Andalucía;Índice general;Índice;2021M05;99,664
01 Andalucía;Índice general;Índice;2021M04;99,211
01 Andalucía;Índice general;Índice;2021M03;97,933
01 Andalucía;Índice general;Índice;2021M02;96,885
01 Andalucía;Índice general;Índice;2021M01;97,488
01 Andalucía;Índice general;Índice;2020M12;97,530
01 Andalucía;Índice general;Índice;2020M11;97,464
01 Andalucía;Índice general;Índice;2020M10;97,419
01 Andalucía;Índice general;Índice;2020M09;96,650
01 Andalucía;Índice general;Índice;2020M08;96,417
01 Andalucía;Índice general;Índice;2020M07;96,331
01 Andalucía;Índice general;Índice;2020M06;97,400
01 Andalucía;Índice general;Índice;2020M05;97,006
01 Andalucía;Índice general;Índice;2020M04;96,964
01 Andalucía;Índice general;Índice;2020M03;96,571
01 Andalucía;Índice general;Índice;2020M02;96,845
01 Andalucía;Índice general;Índice;2020M01;96,876
01 Andalucía;Índice general;Índice;2019M12;97,847
01 Andalucía;Índice general;Índice;2019M11;98,071
01 Andalucía;Índice general;Índice;2019M10;97,955
01 Andalucía;Índice general;Índice;2019M09;96,913
01 Andalucía;Índice general;Índice;2019M08;96,716
01 Andalucía;Índice general;Índice;2019M07;96,765
01 Andalucía;Índice general;Índice;2019M06;97,574
01 Andalucía;Índice general;Índice;2019M05;97,810
01 Andalucía;Índice general;Índice;2019M04;97,585
01 Andalucía;Índice general;Índice;2019M03;96,603
01 Andalucía;Índice general;Índice;2019M02;96,168
01 Andalucía;Índice general;Índice;2019M01;95,877
01 Andalucía;Índice general;Índice;2018M12;97,331
01 Andalucía;Índice general;Índice;2018M11;97,807
01 Andalucía;Índice general;Índice;2018M10;97,936
01 Andalucía;Índice general;Índice;2018M09;97,037
01 Andalucía;Índice general;Índice;2018M08;96,629
01 Andalucía;Índice general;Índice;2018M07;96,467
01 Andalucía;Índice general;Índice;2018M06;97,401
01 Andalucía;Índice general;Índice;2018M05;97,223
01 Andalucía;Índice general;Índice;2018M04;96,376
01 Andalucía;Índice general;Índice;2018M03;95,471
01 Andalucía;Índice general;Índice;2018M02;95,336
01 Andalucía;Índice general;Índice;2018M01;95,161
01 Andalucía;Índice general;Índice;2017M12;96,390
01 Andalucía;Índice general;Índice;2017M11;96,448
01 Andalucía;Índice general;Índice;2017M10;95,962
01 Andalucía;Índice general;Índice;2017M09;94,964
01 Andalucía;Índice general;Índice;2017M08;94,626
01 Andalucía;Índice general;Índice;2017M07;94,428
01 Andalucía;Índice general;Índice;2017M06;95,266
01 Andalucía;Índice general;Índice;2017M05;95,342
01 Andalucía;Índice general;Índice;2017M04;95,338
01 Andalucía;Índice general;Índice;2017M03;94,410
01 Andalucía;Índice general;Índice;2017M02;94,331
01 Andalucía;Índice general;Índice;2017M01;94,686
01 Andalucía;Índice general;Índice;2016M12;95,295
01 Andalucía;Índice general;Índice;2016M11;94,818
01 Andalucía;Índice general;Índice;2016M10;94,471
01 Andalucía;Índice general;Índice;2016M09;93,327
01 Andalucía;Índice general;Índice;2016M08;93,183
01 Andalucía;Índice general;Índice;2016M07;93,056
01 Andalucía;Índice general;Índice;2016M06;93,915
01 Andalucía;Índice general;Índice;2016M05;93,549
01 Andalucía;Índice general;Índice;2016M04;93,031
01 Andalucía;Índice general;Índice;2016M03;92,276
01 Andalucía;Índice general;Índice;2016M02;91,567
01 Andalucía;Índice general;Índice;2016M01;91,900
01 Andalucía;Índice general;Índice;2015M12;93,767
01 Andalucía;Índice general;Índice;2015M11;94,131
01 Andalucía;Índice general;Índice;2015M10;93,758
01 Andalucía;Índice general;Índice;2015M09;93,106
01 Andalucía;Índice general;Índice;2015M08;93,272
01 Andalucía;Índice general;Índice;2015M07;93,585
01 Andalucía;Índice general;Índice;2015M06;94,650
01 Andalucía;Índice general;Índice;2015M05;94,466
