,Comunidad Autónoma,Forma jurídica,Sociedades o Capital desembolsado,Año,Número Sociedades/Capital,Población
0,01 Andalucía,S.A.,Número de Sociedades,2022,21.0,8.511.167
1,01 Andalucía,S.A.,Número de Sociedades,2021,38.0,8.472.407
2,01 Andalucía,S.A.,Número de Sociedades,2020,21.0,8.464.411
3,01 Andalucía,S.A.,Número de Sociedades,2019,37.0,8.414.240
4,01 Andalucía,S.A.,Número de Sociedades,2018,29.0,8.384.408
5,01 Andalucía,S.A.,Número de Sociedades,2017,34.0,8.379.820
6,01 Andalucía,S.A.,Número de Sociedades,2016,36.0,8.388.107
7,01 Andalucía,S.A.,Número de Sociedades,2015,45.0,8.399.043
8,01 Andalucía,S.A.,Número de Sociedades,2014,46.0,8.402.305
9,01 Andalucía,S.A.,Número de Sociedades,2013,41.0,8.440.300
10,01 Andalucía,S.A.,Número de Sociedades,2012,64.0,8.449.985
11,01 Andalucía,S.A.,Número de Sociedades,2011,51.0,8.424.102
12,01 Andalucía,S.A.,Número de Sociedades,2010,79.0,8.370.975
13,01 Andalucía,S.A.,Número de Sociedades,2009,106.0,8.302.923
14,01 Andalucía,S.A.,Número de Sociedades,2008,142.0,8.202.220
15,01 Andalucía,S.A.,Número de Sociedades,2007,262.0,8.059.461
16,01 Andalucía,S.A.,Número de Sociedades,2006,240.0,7.975.672
17,01 Andalucía,S.A.,Número de Sociedades,2005,243.0,7.849.799
18,01 Andalucía,S.A.,Número de Sociedades,2004,303.0,7.687.518
19,01 Andalucía,S.A.,Número de Sociedades,2003,238.0,7.606.848
20,01 Andalucía,S.A.,Número de Sociedades,2002,319.0,7.478.432
21,01 Andalucía,S.A.,Número de Sociedades,2001,341.0,7.403.968
22,01 Andalucía,S.A.,Número de Sociedades,2000,393.0,7.340.052
23,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2022,3.495,8.511.167
24,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2021,12.377,8.472.407
25,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2020,10.124,8.464.411
26,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2019,3.941,8.414.240
27,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2018,7.685,8.384.408
28,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2017,14.751,8.379.820
29,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2016,8.168,8.388.107
30,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2015,7.397,8.399.043
31,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2014,18.612,8.402.305
32,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2013,258.325,8.440.300
33,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2012,79.275,8.449.985
34,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2011,814.137,8.424.102
35,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2010,37.796,8.370.975
36,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2009,32.659,8.302.923
37,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2008,35.828,8.202.220
38,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2007,73.751,8.059.461
39,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2006,95.938,7.975.672
40,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2005,69.553,7.849.799
41,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2004,219.146,7.687.518
42,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2003,174.503,7.606.848
43,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2002,133.22,7.478.432
44,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2001,95.649,7.403.968
45,01 Andalucía,S.A.,capital (en miles de euros) desembolsado,2000,,7.340.052
46,01 Andalucía,S.L.,Número de Sociedades,2022,17.178,8.511.167
47,01 Andalucía,S.L.,Número de Sociedades,2021,17.467,8.472.407
48,01 Andalucía,S.L.,Número de Sociedades,2020,13.633,8.464.411
49,01 Andalucía,S.L.,Número de Sociedades,2019,15.522,8.414.240
50,01 Andalucía,S.L.,Número de Sociedades,2018,15.989,8.384.408
51,01 Andalucía,S.L.,Número de Sociedades,2017,15.346,8.379.820
52,01 Andalucía,S.L.,Número de Sociedades,2016,16.65,8.388.107
53,01 Andalucía,S.L.,Número de Sociedades,2015,15.846,8.399.043
54,01 Andalucía,S.L.,Número de Sociedades,2014,15.495,8.402.305
55,01 Andalucía,S.L.,Número de Sociedades,2013,15.346,8.440.300
56,01 Andalucía,S.L.,Número de Sociedades,2012,14.334,8.449.985
57,01 Andalucía,S.L.,Número de Sociedades,2011,13.89,8.424.102
58,01 Andalucía,S.L.,Número de Sociedades,2010,12.393,8.370.975
59,01 Andalucía,S.L.,Número de Sociedades,2009,12.634,8.302.923
60,01 Andalucía,S.L.,Número de Sociedades,2008,15.678,8.202.220
61,01 Andalucía,S.L.,Número de Sociedades,2007,23.036,8.059.461
62,01 Andalucía,S.L.,Número de Sociedades,2006,24.056,7.975.672
63,01 Andalucía,S.L.,Número de Sociedades,2005,23.199,7.849.799
64,01 Andalucía,S.L.,Número de Sociedades,2004,22.176,7.687.518
65,01 Andalucía,S.L.,Número de Sociedades,2003,20.608,7.606.848
66,01 Andalucía,S.L.,Número de Sociedades,2002,19.006,7.478.432
67,01 Andalucía,S.L.,Número de Sociedades,2001,17.145,7.403.968
68,01 Andalucía,S.L.,Número de Sociedades,2000,16.421,7.340.052
69,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2022,781.915,8.511.167
70,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2021,657.895,8.472.407
71,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2020,609.458,8.464.411
72,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2019,553.759,8.414.240
73,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2018,703.498,8.384.408
74,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2017,624.511,8.379.820
75,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2016,704.893,8.388.107
76,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2015,675.892,8.399.043
77,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2014,712.527,8.402.305
78,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2013,701.998,8.440.300
79,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2012,828.796,8.449.985
80,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2011,718.502,8.424.102
81,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2010,354.388,8.370.975
82,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2009,456.556,8.302.923
83,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2008,696.288,8.202.220
84,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2007,,8.059.461
85,01 Andalucía,S.L.,capital (en miles de euros) desembolsado,2006,981.152,7.975.672
