,Clase de disolución,Año,Comunidad Autónoma,Número Sociedades
0,Otras,2022,01 Andalucía,356
1,Otras,2022,02 Aragón,53
2,Otras,2022,"03 Asturias, Principado de",60
3,Otras,2022,"04 Balears, Illes",61
4,Otras,2022,05 Canarias,88
5,Otras,2022,06 Canarias,22
6,Otras,2022,07 Castilla y León,99
7,Otras,2022,08 Castilla-La Mancha,65
8,Otras,2022,09 Cataluña,367
9,Otras,2022,10 Comunitat Valenciana,545
10,Otras,2022,11 Extremadura,21
11,Otras,2022,12 Galicia,160
12,Otras,2022,"13 Madrid, Comunidad de",344
13,Otras,2022,"14 Murcia, Región de",80
14,Otras,2022,"15 Navarra, Comunidad Foral de",21
15,Otras,2022,16 País Vasco,149
16,Otras,2022,"17 Rioja, La",10
17,Otras,2022,18 Ceuta,1
18,Otras,2022,19 Melilla,0
19,Por fusión,2022,01 Andalucía,274
20,Por fusión,2022,02 Aragón,71
21,Por fusión,2022,"03 Asturias, Principado de",17
22,Por fusión,2022,"04 Balears, Illes",75
23,Por fusión,2022,05 Canarias,62
24,Por fusión,2022,06 Canarias,16
25,Por fusión,2022,07 Castilla y León,52
26,Por fusión,2022,08 Castilla-La Mancha,49
27,Por fusión,2022,09 Cataluña,153
28,Por fusión,2022,10 Comunitat Valenciana,193
29,Por fusión,2022,11 Extremadura,13
30,Por fusión,2022,12 Galicia,86
31,Por fusión,2022,"13 Madrid, Comunidad de",1595
32,Por fusión,2022,"14 Murcia, Región de",45
33,Por fusión,2022,"15 Navarra, Comunidad Foral de",62
34,Por fusión,2022,16 País Vasco,194
35,Por fusión,2022,"17 Rioja, La",21
36,Por fusión,2022,18 Ceuta,5
37,Por fusión,2022,19 Melilla,0
38,Voluntaria,2022,01 Andalucía,3362
39,Voluntaria,2022,02 Aragón,665
40,Voluntaria,2022,"03 Asturias, Principado de",385
41,Voluntaria,2022,"04 Balears, Illes",913
42,Voluntaria,2022,05 Canarias,867
43,Voluntaria,2022,06 Canarias,268
44,Voluntaria,2022,07 Castilla y León,1018
45,Voluntaria,2022,08 Castilla-La Mancha,342
46,Voluntaria,2022,09 Cataluña,1417
47,Voluntaria,2022,10 Comunitat Valenciana,1439
48,Voluntaria,2022,11 Extremadura,305
49,Voluntaria,2022,12 Galicia,1264
50,Voluntaria,2022,"13 Madrid, Comunidad de",6907
